"","logw","logden"
"1",2.93056284562878,-8.93537074959238
"2",3.1398887631737,-9.27425306441364
"3",3.34921468071861,-10.0101045661872
"4",3.55854059826353,-10.5161129177056
"5",3.76786651580844,-10.6940277920143
"6",3.97719243335335,-11.5105297101362
"7",4.18651835089827,-12.4623412725727
"8",4.39584426844318,-13.003177352006
"9",4.60517018598809,-13.3345451848545
"10",4.814496103533,-13.5119329972034
"11",5.02382202107792,-13.8641524988774
"12",5.23314793862283,-14.2994236925579
"13",5.44247385616775,-14.7609896421658
"14",5.65179977371266,-15.3374316793694
"15",5.86112569125757,-16.0151791482198
"16",6.07045160880249,-16.6617392641458
"17",6.2797775263474,-17.359807680427
"18",6.48910344389231,-18.1628115785871
"19",6.69842936143722,-19.0659708873764
"20",6.90775527898214,-19.9484624943444
"21",7.11708119652705,-20.2707860770781
"22",7.32640711407196,-20.5309833898533
"23",7.53573303161688,-20.9896902052077
"24",7.74505894916179,-21.3516685217664
"25",7.9543848667067,-21.6612030382668
"26",8.16371078425162,-22.073654692164
"27",8.37303670179653,-22.451108251157
"28",8.58236261934144,-22.7386194496665
"29",8.79168853688636,-23.0953736968436
"30",9.00101445443127,-23.5927409029331
"31",9.21034037197618,-24.3934092878258
"32",9.4196662895211,-25.4608014475153
"33",9.62899220706601,-26.7813409682638
"34",9.83831812461092,-27.8283101984812
